,Sector
SPY,
CMCSA,Consumer Cyclical
KMI,Energy
INTC,Technology
MU,Technology
GDX,
GE,Industrials
BAC,Financial Services
EEM,
XLF,
AAPL,Technology
MSFT,Technology
SIRI,Consumer Cyclical
HPQ,Technology
CX,Basic Materials
EFA,
CZR,Consumer Cyclical
QQQ,
F,Consumer Cyclical
AMD,Technology
SNAP,Technology
FB,Technology
WFC,Financial Services
AIG,Financial Services
T,Communication Services
C,Financial Services
VALE,Basic Materials
MS,Financial Services
AKS,Basic Materials
JPM,Financial Services
ORCL,Technology
NKE,Consumer Cyclical
VWO,
PG,Consumer Defensive
FXI,
IWM,
GSM,Basic Materials
HK,Energy
BBD,Financial Services
PFE,Healthcare
JD,Technology
NOK,Technology
TWTR,Technology
AMLP,
AVGO,Technology
AMAT,Technology
WFT,Energy
UVXY,
DWDP,Basic Materials
VXX,
VEA,
ZNGA,Technology
XOM,Energy
QCOM,Technology
TVIX,
VIPS,Consumer Defensive
GLD,
CSCO,Technology
AXP,Financial Services
BMY,Healthcare
V,Financial Services
USO,
GRPN,Technology
WP,Industrials
OIH,
GERN,Healthcare
KEY,Financial Services
RF,Financial Services
KR,Consumer Defensive
HAL,Energy
BABA,Consumer Cyclical
MRO,Energy
CLNS,Real Estate
GILD,Healthcare
IEMG,
GM,Consumer Cyclical
FCX,Basic Materials
CRM,Technology
ATVI,Technology
SQ,Technology
P,Consumer Cyclical
XLK,
TWX,Consumer Cyclical
NUE,Basic Materials
XOP,
SWN,Energy
LOW,Consumer Cyclical
RAD,Consumer Defensive
VEON,Communication Services
HYG,
APC,Energy
JNK,
EWJ,
XLU,
ESV,Energy
SLB,Energy
FLEX,Technology
FOXA,Consumer Cyclical
ABBV,Healthcare
GIS,Consumer Defensive
VZ,Communication Services
XRX,Technology
CVLT,Technology
IEFA,
X,Basic Materials
MAT,Consumer Cyclical
CTL,Communication Services
MIK,Consumer Cyclical
DVN,Energy
BKLN,
IBN,Financial Services
MPC,Energy
EZU,
PM,Consumer Defensive
MSCI,Financial Services
RDN,Financial Services
KO,Consumer Defensive
AABA,Financial Services
SRC,Real Estate
NFX,Energy
COP,Energy
CHK,Energy
DIS,Consumer Cyclical
LEN,Consumer Cyclical
CVX,Energy
PYPL,Financial Services
GDXJ,
CTRP,Consumer Cyclical
AUY,Basic Materials
DBEF,
WMT,Consumer Defensive
CLF,Basic Materials
MRK,Healthcare
MDLZ,Consumer Defensive
RSPP,Energy
GG,Basic Materials
MGM,Consumer Cyclical
GFI,Basic Materials
KGC,Basic Materials
SCHW,Financial Services
NBR,Energy
SRCI,Energy
JAG,Energy
NVDA,Technology
JNJ,Healthcare
WDC,Technology
BSX,Healthcare
STI,Financial Services
ON,Technology
ITUB,Financial Services
BK,Financial Services
HMY,Basic Materials
